Upper tier local authorities Code,Upper tier local authorities,Age (9 categories) Code,Age (9 categories),Observation
E06000036,Bracknell Forest,4,Aged 16 to 24 years,11833
E06000036,Bracknell Forest,5,Aged 25 to 34 years,17514
E06000036,Bracknell Forest,6,Aged 35 to 49 years,27356
E06000036,Bracknell Forest,7,Aged 50 to 64 years,24355
E06000036,Bracknell Forest,8,Aged 65 to 74 years,10554
E06000036,Bracknell Forest,9,Aged 75 years and over,8321
E06000037,West Berkshire,1,Aged 4 years and under,8310
E06000037,West Berkshire,2,Aged 5 to 9 years,9701
E06000037,West Berkshire,3,Aged 10 to 15 years,12701
E06000037,West Berkshire,4,Aged 16 to 24 years,14441
E06000037,West Berkshire,5,Aged 25 to 34 years,18318
E06000037,West Berkshire,6,Aged 35 to 49 years,32150
E06000037,West Berkshire,7,Aged 50 to 64 years,34316
E06000037,West Berkshire,8,Aged 65 to 74 years,17053
E06000037,West Berkshire,9,Aged 75 years and over,14459
E06000038,Reading,1,Aged 4 years and under,10238
E06000038,Reading,2,Aged 5 to 9 years,10486
E06000038,Reading,3,Aged 10 to 15 years,12140
E06000038,Reading,4,Aged 16 to 24 years,23783
E06000038,Reading,5,Aged 25 to 34 years,30212
E06000038,Reading,6,Aged 35 to 49 years,38723
E06000038,Reading,7,Aged 50 to 64 years,27664
E06000038,Reading,8,Aged 65 to 74 years,11146
E06000038,Reading,9,Aged 75 years and over,9832
E06000039,Slough,1,Aged 4 years and under,11772
E06000039,Slough,2,Aged 5 to 9 years,12690
E06000039,Slough,3,Aged 10 to 15 years,15104
E06000039,Slough,4,Aged 16 to 24 years,16587
E06000039,Slough,5,Aged 25 to 34 years,23509
E06000039,Slough,6,Aged 35 to 49 years,39334
E06000039,Slough,7,Aged 50 to 64 years,24184
E06000039,Slough,8,Aged 65 to 74 years,8940
E06000039,Slough,9,Aged 75 years and over,6380
E06000040,Windsor and Maidenhead,1,Aged 4 years and under,8021
E06000040,Windsor and Maidenhead,2,Aged 5 to 9 years,9226
E06000040,Windsor and Maidenhead,3,Aged 10 to 15 years,12575
E06000040,Windsor and Maidenhead,4,Aged 16 to 24 years,13658
E06000040,Windsor and Maidenhead,5,Aged 25 to 34 years,17287
E06000040,Windsor and Maidenhead,6,Aged 35 to 49 years,33076
E06000040,Windsor and Maidenhead,7,Aged 50 to 64 years,31333
E06000040,Windsor and Maidenhead,8,Aged 65 to 74 years,14517
E06000040,Windsor and Maidenhead,9,Aged 75 years and over,13804
E06000041,Wokingham,1,Aged 4 years and under,9852
E06000041,Wokingham,2,Aged 5 to 9 years,12189
E06000041,Wokingham,3,Aged 10 to 15 years,14640
E06000041,Wokingham,4,Aged 16 to 24 years,16158
E06000041,Wokingham,5,Aged 25 to 34 years,20127
E06000041,Wokingham,6,Aged 35 to 49 years,39670
E06000041,Wokingham,7,Aged 50 to 64 years,34317
E06000041,Wokingham,8,Aged 65 to 74 years,15863
E06000041,Wokingham,9,Aged 75 years and over,14686
E06000042,Milton Keynes,1,Aged 4 years and under,17733
E06000042,Milton Keynes,2,Aged 5 to 9 years,20264
E06000042,Milton Keynes,3,Aged 10 to 15 years,24233
E06000042,Milton Keynes,4,Aged 16 to 24 years,27725
E06000042,Milton Keynes,5,Aged 25 to 34 years,41044
E06000042,Milton Keynes,6,Aged 35 to 49 years,65600
E06000042,Milton Keynes,7,Aged 50 to 64 years,50876
E06000042,Milton Keynes,8,Aged 65 to 74 years,23402
E06000042,Milton Keynes,9,Aged 75 years and over,16184
E06000043,Brighton and Hove,1,Aged 4 years and under,11751
E06000043,Brighton and Hove,2,Aged 5 to 9 years,13051
E06000043,Brighton and Hove,3,Aged 10 to 15 years,16934
E06000043,Brighton and Hove,4,Aged 16 to 24 years,42928
E06000043,Brighton and Hove,5,Aged 25 to 34 years,41470
E06000043,Brighton and Hove,6,Aged 35 to 49 years,59086
E06000043,Brighton and Hove,7,Aged 50 to 64 years,52908
E06000043,Brighton and Hove,8,Aged 65 to 74 years,21187
E06000043,Brighton and Hove,9,Aged 75 years and over,17789
E06000044,Portsmouth,1,Aged 4 years and under,11280
E06000044,Portsmouth,2,Aged 5 to 9 years,12127
E06000044,Portsmouth,3,Aged 10 to 15 years,13776
E06000044,Portsmouth,4,Aged 16 to 24 years,32415
E06000044,Portsmouth,5,Aged 25 to 34 years,31325
E06000044,Portsmouth,6,Aged 35 to 49 years,39621
E06000044,Portsmouth,7,Aged 50 to 64 years,36669
E06000044,Portsmouth,8,Aged 65 to 74 years,16547
E06000044,Portsmouth,9,Aged 75 years and over,14243
E06000045,Southampton,1,Aged 4 years and under,13796
E06000045,Southampton,2,Aged 5 to 9 years,14453
E06000045,Southampton,3,Aged 10 to 15 years,16305
E06000045,Southampton,4,Aged 16 to 24 years,40421
E06000045,Southampton,5,Aged 25 to 34 years,40883
E06000045,Southampton,6,Aged 35 to 49 years,49344
